"","time","runoff"
"944",1925-08-01,1.51
"945",1925-08-02,2.62
"946",1925-08-03,4.58
"947",1925-08-04,2.51
"948",1925-08-05,2.91
"949",1925-08-06,2.26
"950",1925-08-07,1.96
"951",1925-08-08,1.62
"952",1925-08-09,1.46
"953",1925-08-10,1.41
"954",1925-08-11,1.46
"955",1925-08-12,3.12
"956",1925-08-13,2.02
"957",1925-08-14,1.73
"958",1925-08-15,1.67
"959",1925-08-16,1.51
"960",1925-08-17,1.41
"961",1925-08-18,1.41
"962",1925-08-19,1.56
"963",1925-08-20,1.51
"964",1925-08-21,1.56
"965",1925-08-22,1.51
"966",1925-08-23,1.46
"967",1925-08-24,2.18
"968",1925-08-25,2.51
"969",1925-08-26,3.67
"970",1925-08-27,2.58
"971",1925-08-28,1.96
"972",1925-08-29,1.67
"973",1925-08-30,1.41
"974",1925-08-31,1.26
"975",1925-09-01,1.16
"976",1925-09-02,1.21
"977",1925-09-03,1.16
"978",1925-09-04,1.06
"979",1925-09-05,1.16
"980",1925-09-06,1.06
"981",1925-09-07,2.02
"982",1925-09-08,1.31
"983",1925-09-09,1.16
"984",1925-09-10,1.11
"985",1925-09-11,2.2
"986",1925-09-12,1.51
"987",1925-09-13,1.31
"988",1925-09-14,1.67
"989",1925-09-15,1.36
"990",1925-09-16,1.11
"991",1925-09-17,1.31
"992",1925-09-18,3.46
"993",1925-09-19,1.96
"994",1925-09-20,1.41
"995",1925-09-21,1.73
"996",1925-09-22,3.05
"997",1925-09-23,2.14
