LN - Landwirtschaftliche Nutzfläche Total (in ha);425;......0852 Guggisberg;2099;2152;2123;2032;2091;2074;2050;2204
LN - Landwirtschaftliche Nutzfläche Total (in ha);426;......0853 Rüschegg;842;824;797;812;824;732;828;825
LN - Landwirtschaftliche Nutzfläche Total (in ha);427;......0855 Schwarzenburg;2985;2993;3025;3038;3011;2967;3181;3129
LN - Landwirtschaftliche Nutzfläche Total (in ha);428;......0861 Belp;1260;1288;1278;1290;1311;1317;1373;1410
LN - Landwirtschaftliche Nutzfläche Total (in ha);449;......0922 Blumenstein;404;407;443;393;358;374;409;422
LN - Landwirtschaftliche Nutzfläche Total (in ha);430;......0868 Jaberg;97;98;51;55;55;70;65;74
LN - Landwirtschaftliche Nutzfläche Total (in ha);443;......0863 Burgistein;642;639;614;618;598;600;511;555
LN - Landwirtschaftliche Nutzfläche Total (in ha);432;......0870 Kehrsatz;351;349;348;356;360;377;339;332
LN - Landwirtschaftliche Nutzfläche Total (in ha);471;......0948 Forst-Längenbühl;447;452;421;372;385;363;388;351
LN - Landwirtschaftliche Nutzfläche Total (in ha);429;......0866 Gerzensee;540;540;545;532;523;508;502;502
LN - Landwirtschaftliche Nutzfläche Total (in ha);444;......0867 Gurzelen;414;417;422;392;401;404;429;400
LN - Landwirtschaftliche Nutzfläche Total (in ha);431;......0869 Kaufdorf;145;149;138;143;201;206;221;203
LN - Landwirtschaftliche Nutzfläche Total (in ha);433;......0872 Kirchdorf (BE);1084;1071;1102;1126;1036;1043;1053;1050
LN - Landwirtschaftliche Nutzfläche Total (in ha);434;......0877 Niedermuhlern;594;582;543;575;596;585;596;583
LN - Landwirtschaftliche Nutzfläche Total (in ha);460;......0936 Pohlern;161;171;161;163;197;203;200;171
